province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,admin2,fips,combined_key,incident_rate,people_tested,people_hospitalized,uid,iso3
South Carolina,US,2020-05-21 13:32:48,34.22333378,-82.46170658,36,0,0,36,Abbeville,45001,"Abbeville, South Carolina, US",146.777021241897,,,84045001,USA
Louisiana,US,2020-05-21 13:32:48,30.2950649,-92.41419698,262,12,0,250,Acadia,22001,"Acadia, Louisiana, US",422.274155854622,,,84022001,USA
Virginia,US,2020-05-21 13:32:48,37.76707161,-75.63234615,709,11,0,698,Accomack,51001,"Accomack, Virginia, US",2193.95964847135,,,84051001,USA
Idaho,US,2020-05-21 13:32:48,43.4526575,-116.2415516,792,23,0,769,Ada,16001,"Ada, Idaho, US",164.456266468987,,,84016001,USA
Iowa,US,2020-05-21 13:32:48,41.33075609,-94.47105874,6,0,0,6,Adair,19001,"Adair, Iowa, US",83.8926174496644,,,84019001,USA
Kentucky,US,2020-05-21 13:32:48,37.10459774,-85.28129668,94,17,0,77,Adair,21001,"Adair, Kentucky, US",489.53234038121,,,84021001,USA
Missouri,US,2020-05-21 13:32:48,40.19058551,-92.60078167,34,0,0,34,Adair,29001,"Adair, Missouri, US",134.159333938366,,,84029001,USA
Oklahoma,US,2020-05-21 13:32:48,35.88494195,-94.65859267,78,3,0,75,Adair,40001,"Adair, Oklahoma, US",351.446336847797,,,84040001,USA
Colorado,US,2020-05-21 13:32:48,39.87432092,-104.3362578,2737,108,0,2629,Adams,8001,"Adams, Colorado, US",528.969639809749,,,84008001,USA
Idaho,US,2020-05-21 13:32:48,44.89333571,-116.4545247,3,0,0,3,Adams,16003,"Adams, Idaho, US",69.8649278062413,,,84016003,USA
Illinois,US,2020-05-21 13:32:48,39.98815591,-91.18786813,43,1,0,42,Adams,17001,"Adams, Illinois, US",65.7140673951249,,,84017001,USA
Indiana,US,2020-05-21 13:32:48,40.7457653,-84.93671406,11,1,0,10,Adams,18001,"Adams, Indiana, US",30.7460100064287,,,84018001,USA
Iowa,US,2020-05-21 13:32:48,41.02903567,-94.69932645,2,0,0,2,Adams,19003,"Adams, Iowa, US",55.5247084952804,,,84019003,USA
Mississippi,US,2020-05-21 13:32:48,31.47669768,-91.35326037,178,15,0,163,Adams,28001,"Adams, Mississippi, US",579.936793405663,,,84028001,USA
Nebraska,US,2020-05-21 13:32:48,40.5244942,-98.50117804,256,11,0,245,Adams,31001,"Adams, Nebraska, US",816.248445620636,,,84031001,USA
Ohio,US,2020-05-21 13:32:48,38.84541072,-83.4718964,8,1,0,7,Adams,39001,"Adams, Ohio, US",28.8829518376778,,,84039001,USA
Pennsylvania,US,2020-05-21 13:32:48,39.87140411,-77.21610347,197,5,0,192,Adams,42001,"Adams, Pennsylvania, US",191.245425157025,,,84042001,USA
Washington,US,2020-05-21 13:32:48,46.98299757,-118.5601734,50,0,0,50,Adams,53001,"Adams, Washington, US",250.212680778662,,,84053001,USA
Wisconsin,US,2020-05-21 13:32:48,43.96974651,-89.76782777,4,1,0,3,Adams,55001,"Adams, Wisconsin, US",19.782393669634,,,84055001,USA
Vermont,US,2020-05-21 13:32:48,44.03217337,-73.14130877,62,2,0,60,Addison,50001,"Addison, Vermont, US",168.583625635587,,,84050001,USA
South Carolina,US,2020-05-21 13:32:48,33.54338026,-81.63645384,160,7,0,153,Aiken,45003,"Aiken, South Carolina, US",93.6373425722178,,,84045003,USA
Minnesota,US,2020-05-21 13:32:48,46.60962049,-93.4116826,4,0,0,4,Aitkin,27001,"Aitkin, Minnesota, US",25.179403248143,,,84027001,USA
Florida,US,2020-05-21 13:32:48,29.67866525,-82.35928158,344,7,0,337,Alachua,12001,"Alachua, Florida, US",127.860602208569,,,84012001,USA
North Carolina,US,2020-05-21 13:32:48,36.0434701,-79.39976137,234,13,0,221,Alamance,37001,"Alamance, North Carolina, US",138.045767481373,,,84037001,USA
California,US,2020-05-21 13:32:48,37.64629437,-121.8929271,2560,88,0,2472,Alameda,6001,"Alameda, California, US",153.171517995559,,,84006001,USA
Colorado,US,2020-05-21 13:32:48,37.57250606,-105.7885451,43,2,0,41,Alamosa,8003,"Alamosa, Colorado, US",264.892502926138,,,84008003,USA
New York,US,2020-05-21 13:32:48,42.60060306,-73.97723916,1682,69,0,1613,Albany,36001,"Albany, New York, US",550.562018421897,,,84036001,USA
